,id,text,timestamp,user,location
59,703475937430507520,ETR now set for Scottsdale outage-2:15 a.m. Cause still under investigation. Please stay safe. @apsFYI http://toplocalnow.com/united-states/arizona/phoenix …,2016-02-27 07:05:08,PhoenixCP,Phoenix
60,696489273294327808,CBS Sports app suffers Super Bowl outage on Apple TV http://www.theverge.com/2016/2/7/10933844/super-bowl-2016-cbs-sports-app-outage-apple-tv …,2016-02-08 00:22:37,lowercaseman,Phoenix
61,695116973194264577,"Aftermath of the 2016 Deer Valley power outage. @ Phoenix, Arizona https://www.instagram.com/p/BBWkd2drMWY/ ",2016-02-04 05:29:35,BTown602,Phoenix
62,694028179418193920,Stupid power outage. Must save battery after I check everyone's twitter from the last 2 months...,2016-02-01 05:23:07,The_BiscuitGuy,Phoenix
63,689843198076694528,SMH..... I just lost power at my place....THEY DONT EVEN WANT ME TO SEE THE FOOD IM ABOUT TO… https://www.instagram.com/p/BAxGOaHRtr8/ ,2016-01-20 16:13:29,burudi1,Phoenix
64,689158950856474624,"While electrical power is out in the Papago Park area including the Zoo, we're open with some restricted services.… http://toplocalnow.com/united-states/arizona/phoenix?utm_source=dlvr.it&utm_medium=twitter …",2016-01-18 18:54:32,PhoenixCP,Phoenix
65,685621319610667008,"~3,000 customers lost power in Munds Park early this afternoon. Crew patrolling line on snowcat to find cause &… http://toplocalnow.com/united-states/arizona/phoenix?utm_source=dlvr.it&utm_medium=twitter …",2016-01-09 00:37:15,PhoenixCP,Phoenix
66,681174478982778880,"Due to power outage caused by fallen trees, we are working to open the lifts on backup power. We hope to be open by… http://toplocalnow.com/united-states/arizona/phoenix?utm_source=dlvr.it&utm_medium=twitter …",2015-12-27 18:07:06,PhoenixCP,Phoenix
67,667110583200649216,Surprise MVD office closed until further notice due to power outage. For other locations visit http://azdot.gov/mvdlocations ,2015-11-18 22:42:12,PhoenixCP,Phoenix
68,660805606815600642,@apsFYI Owe you an apology for ranting. Found out our outage was an SRP problem. Sorry!,2015-11-01 13:08:28,DMCrandall,Phoenix
69,658550924143538176,The set. With and without power. All fun! #dtphx #momentummag @ SWITCH studio https://instagram.com/p/9SwJanOpC0/ ,2015-10-26 07:49:10,switchstudio,Phoenix
70,655908518575271936,"Rain, hail rolling through Phoenix area; 21,000 without power: Storms are rolling through the Valley Sunday… http://phoenix.cityandpress.com/node/10331856 ",2015-10-19 00:49:11,PhoenixCP,Phoenix
71,641685780709011456,"Fire destroys store in Douglas, causes large power outage: Arizona Public Service Co. says a commercial building… http://phoenix.cityandpress.com/node/10148282 ",2015-09-09 18:53:06,PhoenixCP,Phoenix
72,639700565748903937,Residents of Mesa mobile home park go without power for 10 days: Imagine being stuck in the dark with no power for… http://phoenix.cityandpress.com/node/10127043 ,2015-09-04 07:24:34,PhoenixCP,Phoenix
73,639066508090408960,"3,000 APS customers still without power after Monday's storm: About 3,000 Arizona Public Service customers are… http://phoenix.cityandpress.com/node/10116779 ",2015-09-02 13:25:03,PhoenixCP,Phoenix
74,638969751104942080,"10,000 still without power 24 hours after destructive monsoon storm: Thousands of people were still without power… http://phoenix.cityandpress.com/node/10115817 ",2015-09-02 07:00:34,PhoenixCP,Phoenix
75,638889717879083008,"More than 23,000 still without power in metro Phoenix: Almost 24 hours after a massive storm hit the Valley,… http://phoenix.cityandpress.com/node/10114844 ",2015-09-02 01:42:33,PhoenixCP,Phoenix
