,date_place,combined_text
244,"2014-09-02, Austin","downpour, scorching, hot ||"
245,"2014-09-03, Austin","drizzle, scorching, hot ||"
246,"2014-09-04, Austin","dry, scorching, hot ||"
247,"2014-09-05, Austin","dry, scorching, hot ||"
248,"2014-09-06, Austin","torrential, scorching, hot ||"
249,"2014-09-07, Austin","downpour, scorching, hot ||"
250,"2014-09-08, Austin","torrential, scorching, hot ||"
251,"2014-09-09, Austin","dry, scorching, hot ||"
252,"2014-09-10, Austin","dry, scorching, hot ||"
253,"2014-09-11, Austin","dry, scorching, hot ||"
254,"2014-09-12, Austin","dry, scorching, hot ||"
255,"2014-09-13, Austin","torrential, scorching, warm ||"
256,"2014-09-14, Austin","downpour, hot, warm ||"
257,"2014-09-15, Austin","dry, hot, warm ||"
258,"2014-09-16, Austin","dry, scorching, hot ||"
259,"2014-09-17, Austin","torrential, hot, hot ||"
260,"2014-09-18, Austin","torrential, scorching, hot ||"
261,"2014-09-19, Austin","torrential, hot, hot ||"
262,"2014-09-20, Austin","downpour, hot, hot ||"
263,"2014-09-21, Austin","dry, hot, hot ||"
264,"2014-09-22, Austin","dry, scorching, hot ||"
265,"2014-09-23, Austin","rain, scorching, warm ||"
266,"2014-09-24, Austin","dry, hot, warm ||"
267,"2014-09-25, Austin","dry, hot, warm ||"
268,"2014-09-26, Austin","downpour, hot, warm ||"
269,"2014-09-27, Austin","dry, hot, hot ||"
270,"2014-09-28, Austin","rain, hot, warm ||"
271,"2014-09-29, Austin","downpour, hot, hot ||"
272,"2014-09-30, Austin","dry, hot, warm ||"
273,"2014-10-01, Austin","dry, hot, hot ||"
274,"2014-10-02, Austin","dry, scorching, hot ||"
275,"2014-10-03, Austin","torrential, scorching, warm ||"
276,"2014-10-04, Austin","dry, hot, warm ||"
277,"2014-10-05, Austin","dry, hot, warm ||"
278,"2014-10-06, Austin","dry, hot, warm ||"
279,"2014-10-07, Austin","rain, hot, warm ||"
280,"2014-10-08, Austin","dry, scorching, warm ||"
281,"2014-10-09, Austin","drizzle, scorching, hot ||"
282,"2014-10-10, Austin","drizzle, scorching, hot ||"
283,"2014-10-11, Austin","downpour, hot, hot ||"
284,"2014-10-12, Austin","downpour, hot, warm ||"
285,"2014-10-13, Austin","torrential, hot, warm ||"
286,"2014-10-14, Austin","drizzle, hot, warm ||"
287,"2014-10-15, Austin","dry, hot, warm ||"
288,"2014-10-16, Austin","dry, hot, warm ||"
289,"2014-10-17, Austin","dry, hot, warm ||"
290,"2014-10-18, Austin","dry, hot, warm ||"
291,"2014-10-19, Austin","dry, hot, warm ||"
292,"2014-10-20, Austin","dry, hot, warm ||"
293,"2014-10-21, Austin","dry, hot, warm ||"
294,"2014-10-22, Austin","dry, hot, warm ||"
295,"2014-10-23, Austin","dry, hot, warm ||"
296,"2014-10-24, Austin","dry, hot, warm ||"
297,"2014-10-25, Austin","dry, hot, warm ||"
298,"2014-10-26, Austin","dry, hot, warm ||"
299,"2014-10-27, Austin","dry, hot, warm ||"
300,"2014-10-28, Austin","dry, hot, warm ||"
301,"2014-10-29, Austin","dry, hot, warm ||"
302,"2014-10-30, Austin","dry, hot, warm ||"
303,"2014-10-31, Austin","dry, hot, warm ||"
304,"2014-11-01, Austin","dry, hot, cold ||"
305,"2014-11-02, Austin","dry, warm, cold ||"
306,"2014-11-03, Austin","dry, hot, cold ||"
307,"2014-11-04, Austin","dry, hot, warm ||"
308,"2014-11-05, Austin","torrential, hot, warm ||"
309,"2014-11-06, Austin","torrential, warm, warm ||"
310,"2014-11-07, Austin","rain, warm, cold ||"
311,"2014-11-08, Austin","dry, warm, warm ||"
312,"2014-11-09, Austin","dry, warm, cold ||"
313,"2014-11-10, Austin","dry, hot, cold ||"
314,"2014-11-11, Austin","dry, hot, warm ||"
315,"2014-11-12, Austin","dry, warm, cold ||"
316,"2014-11-13, Austin","downpour, warm, cold ||"
317,"2014-11-14, Austin","dry, cold, cold ||"
318,"2014-11-15, Austin","dry, cold, cold ||"
319,"2014-11-16, Austin","downpour, warm, cold ||"
320,"2014-11-17, Austin","downpour, warm, freezing ||"
321,"2014-11-18, Austin","dry, cold, freezing ||"
322,"2014-11-19, Austin","dry, warm, cold ||"
323,"2014-11-20, Austin","dry, hot, cold ||"
324,"2014-11-21, Austin","torrential, hot, warm ||"
325,"2014-11-22, Austin","torrential, warm, warm ||"
326,"2014-11-23, Austin","torrential, warm, warm ||"
327,"2014-11-24, Austin","torrential, hot, cold ||"
328,"2014-11-25, Austin","dry, warm, cold ||"
329,"2014-11-26, Austin","dry, warm, cold ||"
330,"2014-11-27, Austin","dry, hot, cold ||"
331,"2014-11-28, Austin","dry, warm, cold ||"
332,"2014-11-29, Austin","dry, hot, cold ||"
333,"2014-11-30, Austin","dry, hot, warm ||"
334,"2014-12-01, Austin","dry, hot, warm ||"
335,"2014-12-02, Austin","downpour, warm, cold ||"
336,"2014-12-03, Austin","dry, warm, cold ||"
337,"2014-12-04, Austin","dry, hot, warm ||"
