,index,station,date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT11,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
47,47,GHCND:USC00412114,2014-03-27T00:00:00,72.0,0.0,,,178.0,67.0,167.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
48,48,GHCND:USC00412114,2014-03-28T00:00:00,18.0,33.0,,,217.0,167.0,206.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
49,49,GHCND:USC00412114,2014-03-29T00:00:00,40.0,198.0,,,300.0,122.0,122.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
50,50,GHCND:USC00412114,2014-03-30T00:00:00,13.0,0.0,,,239.0,89.0,89.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
51,51,GHCND:USC00412114,2014-03-31T00:00:00,18.0,0.0,,,244.0,89.0,94.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
52,52,GHCND:USC00412114,2014-04-01T00:00:00,40.0,0.0,,,272.0,94.0,183.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
53,53,GHCND:USC00412114,2014-04-02T00:00:00,31.0,0.0,,,272.0,178.0,211.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
54,54,GHCND:USC00412114,2014-04-04T00:00:00,63.0,58.0,,,278.0,128.0,128.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
55,55,GHCND:USC00412114,2014-04-06T00:00:00,45.0,8.0,,,183.0,106.0,111.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
56,56,GHCND:USC00412114,2014-04-07T00:00:00,49.0,69.0,,,122.0,100.0,106.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
57,57,GHCND:USC00412114,2014-04-08T00:00:00,31.0,74.0,,,189.0,100.0,100.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
58,58,GHCND:USC00412114,2014-04-09T00:00:00,0.0,0.0,,,211.0,50.0,56.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
59,59,GHCND:USC00412114,2014-04-10T00:00:00,0.0,0.0,,,267.0,50.0,122.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
60,60,GHCND:USC00412114,2014-04-11T00:00:00,36.0,0.0,,,283.0,122.0,156.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
61,61,GHCND:USC00412114,2014-04-12T00:00:00,27.0,0.0,,,289.0,150.0,183.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
62,62,GHCND:USC00412114,2014-04-13T00:00:00,9.0,0.0,,,289.0,178.0,183.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
63,63,GHCND:USC00412114,2014-04-14T00:00:00,0.0,58.0,,,244.0,183.0,222.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
64,64,GHCND:USC00412114,2014-04-15T00:00:00,22.0,36.0,,,228.0,28.0,28.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
65,65,GHCND:USC00412114,2014-04-16T00:00:00,18.0,0.0,,,178.0,28.0,50.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
66,66,GHCND:USC00412114,2014-04-17T00:00:00,22.0,0.0,,,200.0,50.0,122.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
